epoch,loss_fcn,model,test_loss,train_loss
1,MSE,Mog,0.5981213301420212,1.0629972890019417
2,MSE,Mog,0.3248558208346367,0.536619957536459
3,MSE,Mog,0.2863159470260143,0.4039100855588913
4,MSE,Mog,0.26209255680441856,0.3225098345428705
5,MSE,Mog,0.2454003721475601,0.2335022035986185
6,MSE,Mog,0.21808116585016252,0.17516680154949427
7,MSE,Mog,0.19615862220525743,0.13941565621644258
8,MSE,Mog,0.18777605704963207,0.09890832751989365
9,MSE,Mog,0.17911832295358182,0.07355208788067102
10,MSE,Mog,0.17456998564302922,0.059212359599769115
11,MSE,Mog,0.1710454434156418,0.047927435487508774
12,MSE,Mog,0.16803714632987976,0.041649386985227466
13,MSE,Mog,0.16420984081923962,0.03449895279482007
14,MSE,Mog,0.1606648202985525,0.030453944578766823
15,MSE,Mog,0.1595228649675846,0.02481731353327632
16,MSE,Mog,0.15743265450000762,0.042393521405756474
17,MSE,Mog,0.1541351780295372,0.019769140984863043
18,MSE,Mog,0.15650048330426217,0.016404107096605003
19,MSE,Mog,0.15107232481241226,0.014846359263174236
20,MSE,Mog,0.14584401547908782,0.013183687231503427
21,MSE,Mog,0.14321667402982713,0.013777643907815218
22,MSE,Mog,0.1413158740848303,0.010654620011337101
23,MSE,Mog,0.14128779321908952,0.011118227732367814
24,MSE,Mog,0.13781302273273469,0.013494241691660136
25,MSE,Mog,0.13709711283445358,0.007899343792814761
26,MSE,Mog,0.13375325538218022,0.010317818901967257
27,MSE,Mog,0.13168522343039513,0.00687454579747282
28,MSE,Mog,0.13332764096558095,0.006911737669724971
29,MSE,Mog,0.12946901097893715,0.0055567583767697215
30,MSE,Mog,0.12997958660125733,0.004981874051736668
31,MSE,Mog,0.1271739736199379,0.006456257484387606
32,MSE,Mog,0.1302208136767149,0.004352125892182812
33,MSE,Mog,0.12559805884957315,0.0048638432344887406
34,MSE,Mog,0.12578256726264953,0.003993524587713182
35,MSE,Mog,0.12366945035755635,0.0038044124376028776
36,MSE,Mog,0.1227999396622181,0.003269940585596487
37,MSE,Mog,0.12313832342624664,0.002908774942625314
38,MSE,Mog,0.12071011550724506,0.002759870432782918
39,MSE,Mog,0.1191371239721775,0.002587607581517659
40,MSE,Mog,0.1210187915712595,0.0025163737445836887
41,MSE,Mog,0.11984457783401012,0.0024830051697790623
42,MSE,Mog,0.1206397246569395,0.0023763350473018363
43,MSE,Mog,0.11916785892099142,0.002500944188795984
44,MSE,Mog,0.11784381605684757,0.002839547749317717
45,MSE,Mog,0.11875196695327758,0.0019942709914175794
46,MSE,Mog,0.11725391373038292,0.001743709755828604
47,MSE,Mog,0.11692633479833603,0.0016478314937558025
48,MSE,Mog,0.11650873832404614,0.0016109631687868387
49,MSE,Mog,0.11920646950602531,0.0014692369586555287
50,MSE,Mog,0.11646249201148748,0.0014231675741029903
51,MSE,Mog,0.11610997319221497,0.0014516727678710595
52,MSE,Mog,0.11634277775883675,0.0012311245664022863
53,MSE,Mog,0.11436127163469792,0.0015195805171970278
54,MSE,Mog,0.11403220798820257,0.0012186648673377931
55,MSE,Mog,0.11474568098783493,0.0011044739294447936
56,MSE,Mog,0.11373931318521499,0.0010594027480692603
57,MSE,Mog,0.11327965930104256,0.0009838540354394354
58,MSE,Mog,0.11154399774968624,0.0009770739125087857
59,MSE,Mog,0.11332828998565674,0.0009301267346017994
60,MSE,Mog,0.11176720708608627,0.0008755278831813484
61,MSE,Mog,0.11226526591926814,0.0008843547475407831
62,MSE,Mog,0.11250325422734023,0.000806563904916402
63,MSE,Mog,0.1162431351840496,0.0008039743333938532
64,MSE,Mog,0.11102322097867727,0.0007593828850076534
65,MSE,Mog,0.11042265482246875,0.000808602839242667
66,MSE,Mog,0.1106695044785738,0.0007447784155374393
67,MSE,Mog,0.11191070713102817,0.00065252446802333
68,MSE,Mog,0.11120905093848706,0.0006571570556843653
69,MSE,Mog,0.11087608095258475,0.0006166325256344862
70,MSE,Mog,0.110773896984756,0.0006894894577271771
71,MSE,Mog,0.11145217977464199,0.000958022410486592
72,MSE,Mog,0.11029607355594635,0.0006021308290655725
73,MSE,Mog,0.10949529586359859,0.000583289671340026
74,MSE,Mog,0.1096344195306301,0.0005526126187760383
75,MSE,Mog,0.10896137468516827,0.0006322702101897448
76,MSE,Mog,0.11027200818061829,0.0007005819752521347
77,MSE,Mog,0.10939166359603406,0.0004916059551760554
78,MSE,Mog,0.10989678110927344,0.0005228184600127861
79,MSE,Mog,0.10978741794824601,0.0014337297798192594
80,MSE,Mog,0.10833639651536942,0.0007537251149187796
81,MSE,Mog,0.10847054924815894,0.0005740586566389538
82,MSE,Mog,0.108167639747262,0.0011048103697248735
83,MSE,Mog,0.1093681998550892,0.0005313757319527213
84,MSE,Mog,0.10870706867426634,0.00046172137081157416
85,MSE,Mog,0.10940198041498661,0.00043293774069752544
86,MSE,Mog,0.10853310488164425,0.00036931587965227664
87,MSE,Mog,0.1079907950013876,0.00036043484578840435
88,MSE,Mog,0.1090309951454401,0.00034528359174146317
89,MSE,Mog,0.10749164372682571,0.0003458693372522248
90,MSE,Mog,0.10767802782356739,0.0002991138280776795
91,MSE,Mog,0.10955876447260379,0.00029531295149354264
92,MSE,Mog,0.1079541627317667,0.0002567828159953933
93,MSE,Mog,0.10731890127062797,0.00026572624119580723
94,MSE,Mog,0.1088322427123785,0.0002901400312111946
95,MSE,Mog,0.10757025219500065,0.0002514940370019758
96,MSE,Mog,0.10831188298761844,0.00031177697201201227
97,MSE,Mog,0.10892129391431808,0.00025448310589126777
98,MSE,Mog,0.10771028436720372,0.00023255167252500542
99,MSE,Mog,0.10813881531357765,0.0002141888689948246
100,MSE,Mog,0.10778581760823727,0.0002036214900726918
101,MSE,Mog,0.1078674029558897,0.00022694379913446028
102,MSE,Mog,0.10821467377245426,0.00020708462034235708
103,MSE,Mog,0.107410479336977,0.00022120764151623007
104,MSE,Mog,0.10790621414780617,0.00019130101554765133
105,MSE,Mog,0.10681002251803876,0.00019218938541598618
106,MSE,Mog,0.10792487226426602,0.00017666623898549005
107,MSE,Mog,0.10815338995307684,0.0003433162482906482
108,MSE,Mog,0.10700076185166836,0.0001735161395117757
109,MSE,Mog,0.10787783078849315,0.0003591086351661943
110,MSE,Mog,0.10830086804926395,0.0002130130960722454
111,MSE,Mog,0.10788058638572692,0.00019498666006256826
112,MSE,Mog,0.10724433697760105,0.00016376224266423378
113,MSE,Mog,0.1070071903988719,0.00016095751925604418
114,MSE,Mog,0.10723321326076984,0.00015143815380724845
115,MSE,Mog,0.1073882594704628,0.00015643961160094477
116,MSE,Mog,0.10748080350458622,0.00014155708322505234
117,MSE,Mog,0.10670490041375161,0.00012749653342325473
118,MSE,Mog,0.10761938840150834,0.00037133490513951983
119,MSE,Mog,0.10808008424937725,0.0001514868099548039
120,MSE,Mog,0.1072906918823719,0.00015085549421200994
121,MSE,Mog,0.10571039468050003,0.0001790980422811117
122,MSE,Mog,0.10791709572076798,0.00014758344605070306
123,MSE,Mog,0.10762181505560875,0.00022873227317177225
124,MSE,Mog,0.10815978869795799,0.00014332086811918998
125,MSE,Mog,0.10731599107384682,0.00012047377822455019
126,MSE,Mog,0.10766947269439697,0.00010135746833839221
127,MSE,Mog,0.10654566325247287,0.00012319058805587701
128,MSE,Mog,0.10833125934004784,0.00013963902347313706
129,MSE,Mog,0.10770614985376596,0.00010216451209998922
130,MSE,Mog,0.10781045481562615,8.372268939638161e-05
131,MSE,Mog,0.10746351294219494,7.867801059546764e-05
132,MSE,Mog,0.10781366620212793,7.800897174092825e-05
133,MSE,Mog,0.10717832669615746,7.82987108323141e-05
134,MSE,Mog,0.10727239102125168,7.421371174132219e-05
135,MSE,Mog,0.10735863801091909,7.024928117971285e-05
136,MSE,Mog,0.10740949288010597,7.196679234766634e-05
137,MSE,Mog,0.10601533688604832,6.349866725940956e-05
138,MSE,Mog,0.10781544670462609,0.00010421143224448315
139,MSE,Mog,0.10743224769830703,7.335777900152607e-05
140,MSE,Mog,0.10700953230261803,6.43874204797612e-05
141,MSE,Mog,0.10731073468923569,5.6207075886050006e-05
142,MSE,Mog,0.1072888769209385,6.071268626328674e-05
143,MSE,Mog,0.10795407332479953,6.544288544318988e-05
144,MSE,Mog,0.10748955830931664,6.592029512830777e-05
145,MSE,Mog,0.1076912883669138,0.0006083705070523138
146,MSE,Mog,0.10778365172445774,0.00015821597935428144
147,MSE,Mog,0.10815155394375324,0.00016467426576127764
148,MSE,Mog,0.1075279776006937,0.00018154770441469736
149,MSE,Mog,0.10773275829851628,0.0001823819948185701
150,MSE,Mog,0.10639980807900429,0.0001096527435038297
151,MSE,Mog,0.10738115161657333,0.00012925912687933305
152,MSE,Mog,0.10695775263011456,9.64457904046867e-05
153,MSE,Mog,0.10738746970891952,0.00030548165887012146
154,MSE,Mog,0.10760908722877502,0.00016624280078758602
155,MSE,Mog,0.10674006789922715,0.0006409302873180422
156,MSE,Mog,0.10773037783801556,0.0002452122516842792
157,MSE,Mog,0.107652479223907,7.178204759838991e-05
158,MSE,Mog,0.10675037335604429,0.00016713201694074087
159,MSE,Mog,0.1070724830031395,7.745052425889298e-05
160,MSE,Mog,0.10746075920760631,0.00017604150434635812
161,MSE,Mog,0.1068610455840826,0.00011891404346897616
162,MSE,Mog,0.10745577588677406,0.00014813140933256363
163,MSE,Mog,0.10752470176666976,9.104150285565993e-05
164,MSE,Mog,0.10759625732898712,7.82326146691048e-05
165,MSE,Mog,0.10720721408724784,6.376562123477925e-05
166,MSE,Mog,0.1075720451772213,4.147126765019493e-05
167,MSE,Mog,0.10848595313727856,5.6064140153466724e-05
168,MSE,Mog,0.10782887637615204,4.7175863983284216e-05
169,MSE,Mog,0.1080959677696228,3.639273950284405e-05
170,MSE,Mog,0.10626763440668582,5.724056131839461e-05
171,MSE,Mog,0.10744692105799913,4.981039364793105e-05
172,MSE,Mog,0.10763415694236755,4.7636774979764596e-05
173,MSE,Mog,0.10786129571497441,3.4409262752888026e-05
174,MSE,Mog,0.10791056714951992,2.8060271233698586e-05
175,MSE,Mog,0.10795162916183472,2.46309067506445e-05
176,MSE,Mog,0.10805532783269882,0.000134362752078232
177,MSE,Mog,0.10831872932612896,5.612612130789785e-05
178,MSE,Mog,0.1078888639807701,5.0178989113192074e-05
179,MSE,Mog,0.10728112421929836,6.277677402977133e-05
180,MSE,Mog,0.10779139138758183,6.122178683654056e-05
181,MSE,Mog,0.10883219353854656,0.0001243668471033743
182,MSE,Mog,0.10794800780713558,9.916190401781932e-05
183,MSE,Mog,0.10728507563471794,5.207001868257066e-05
184,MSE,Mog,0.10845980569720268,3.544611149663979e-05
185,MSE,Mog,0.10895373523235322,2.576771476014983e-05
186,MSE,Mog,0.10779240541160107,3.1635152254239074e-05
187,MSE,Mog,0.10643576234579086,2.681828755157767e-05
188,MSE,Mog,0.10852411426603795,1.9529702171894314e-05
189,MSE,Mog,0.10904719233512879,1.5333200622080767e-05
190,MSE,Mog,0.10788953714072705,3.082135367549199e-05
191,MSE,Mog,0.10773589164018631,4.551062033897324e-05
192,MSE,Mog,0.10850733816623688,3.821056679953472e-05
193,MSE,Mog,0.1065353062003851,2.206319925335265e-05
194,MSE,Mog,0.1085240425541997,1.6436507735306805e-05
195,MSE,Mog,0.1082628309726715,1.388902217058785e-05
